Fecha,Emisora,Serie,Precio
20170120,ACTIMED,M-2,4.503337
20170120,ACTIMED,M-3,4.560776
20170120,ACTIREN,A,9.139637
20170120,ACTIREN,B-1,7.22015
20170120,ACTIREN,B-2,7.512771
20170120,ACTIREN,B-3,7.711634
20170120,ACTIREN,E,8.398777
20170120,ACTIREN,F-1,7.776545
20170120,ACTIREN,F-2,7.853765
20170120,ACTIREN,F-3,8.037207
20170120,ACTIREN,FF,9.203519
20170120,ACTIREN,M-1,7.826299
20170120,ACTIREN,M-2,7.882354
20170120,ACTIREN,M-3,7.930612
20170120,ALTERNA,A,4.015031
20170120,ALTERNA,B-1,3.105114
20170120,ALTERNA,B-2,3.363532
20170120,ALTERNA,B-3,3.599362
20170120,ALTERNA,D,3.627186
20170120,ALTERNA,E,3.671417
20170120,ALTERNA,F-1,3.622664
20170120,ALTERNA,FF,4.029854
20170120,ALTERNA,M-1,3.291777
20170120,ALTERNA,M-2,3.467926
20170120,ALTERNA,M-3,3.646424
20170120,ACTI500,A,4.892451
20170120,ACTI500,B1,3.701017
20170120,ACTI500,B2,4.010359
20170120,ACTI500,B3,4.157045
20170120,ACTI500,D,4.709578
20170120,ACTINEM,A,207.624512
20170120,ACTINEM,B,184.388125
20170120,ACTINEM,FF,207.62449
20170120,ACTINMO,A,40.186726
20170120,ACTINMO,B,35.633134
20170120,ACTINMO,D,35.874699
20170120,ACTINMO,FF,40.18672
20170120,ACTINMO,I,39.782389
20170120,ACTIUS,A,3.35838
20170120,ACTIUS,B,2.963248
20170120,ACTIVAR,A,94.394381
20170120,ACTIVAR,B,83.287329
20170120,MAYA,A,39.678375
20170120,MAYA,B1,30.674875
20170120,MAYA,B2,32.078389
20170120,MAYA,B3,33.54827
20170120,MAYA,D,32.862173
20170120,MAYA,FF,39.678362
20170123,ACTICOB,A,29.149225
20170123,ACTICOB,B-1,26.965997
20170123,ACTICOB,B-2,27.578369
20170123,ACTICOB,B-3,28.248673
20170123,ACTICOB,E,29.521644
20170123,ACTICOB,F-1,28.27161
20170123,ACTICOB,F-2,28.557671
20170123,ACTICOB,F-3,28.807506
20170123,ACTICOB,FF,29.168517
20170123,ACTICOB,M-1,27.505301
20170123,ACTICOB,M-2,27.97879
20170123,ACTICOB,M-3,28.313569
20170123,ACTIGOB,A,4.585994
20170123,ACTIGOB,B-1,3.816007
20170123,ACTIGOB,B-2,4.001017
20170123,ACTIGOB,B-3,4.097313
20170123,ACTIGOB,E,4.617824
20170123,ACTIGOB,F-1,4.206296
20170123,ACTIGOB,FF,4.58599
20170123,ACTIGOB,GE,4.744496
20170123,ACTIGOB,M-1,4.208954
20170123,ACTIGOB,M-2,4.269657
20170123,ACTIGOB,M-3,4.331273
20170123,ACTIMED,A,4.78389
20170123,ACTIMED,B-1,4.106219
20170123,ACTIMED,B-2,4.439727
20170123,ACTIMED,B-3,4.554443
20170123,ACTIMED,D,4.539528
20170123,ACTIMED,E,4.790704
20170123,ACTIMED,F-1,4.450776
20170123,ACTIMED,F-2,4.631708
20170123,ACTIMED,F-3,4.674565
20170123,ACTIMED,FF,4.781494
20170123,ACTIMED,M-1,4.285076
20170123,ACTIMED,M-2,4.505006
20170123,ACTIMED,M-3,4.562512
20170123,ACTIREN,A,9.143963
20170123,ACTIREN,B-1,7.221561
20170123,ACTIREN,B-2,7.51429
20170123,ACTIREN,B-3,7.71324
20170123,ACTIREN,E,8.400854
20170123,ACTIREN,F-1,7.778379
20170123,ACTIREN,F-2,7.855655
20170123,ACTIREN,F-3,8.039181
20170123,ACTIREN,FF,9.207879
20170123,ACTIREN,M-1,7.827896
20170123,ACTIREN,M-2,7.884041
20170123,ACTIREN,M-3,7.932349
20170123,ALTERNA,A,4.017361
20170123,ALTERNA,B-1,3.106255
20170123,ALTERNA,B-2,3.364943
20170123,ALTERNA,B-3,3.601055
20170123,ALTERNA,D,3.628928
20170123,ALTERNA,E,3.673179
20170123,ALTERNA,F-1,3.624152
20170123,ALTERNA,FF,4.032194
20170123,ALTERNA,M-1,3.293029
20170123,ALTERNA,M-2,3.469419
20170123,ALTERNA,M-3,3.648176
20170126,ACTICOB,A,28.6643
20170126,ACTICOB,B-1,26.515046
20170126,ACTICOB,B-2,27.117457
20170126,ACTICOB,B-3,27.776847
20170126,ACTICOB,E,29.029551
20170126,ACTICOB,F-1,27.799785
20170126,ACTICOB,F-2,28.08134
20170126,ACTICOB,F-3,28.327279
20170126,ACTICOB,FF,28.683272
20170126,ACTICOB,M-1,27.045608
20170126,ACTICOB,M-2,27.511462
20170126,ACTICOB,M-3,27.840926
20170126,ACTIGOB,A,4.588206
20170126,ACTIGOB,B-1,3.817229
20170126,ACTIGOB,B-2,4.002347
20170126,ACTIGOB,B-3,4.098718
20170126,ACTIGOB,E,4.619913
20170126,ACTIGOB,F-1,4.20788
20170126,ACTIGOB,FF,4.588202
20170126,ACTIGOB,GE,4.74687
20170126,ACTIGOB,M-1,4.210564
20170126,ACTIGOB,M-2,4.271334
20170126,ACTIGOB,M-3,4.333019
20170126,ACTIMED,A,4.786423
20170126,ACTIMED,B-1,4.107737
20170126,ACTIMED,B-2,4.44162
20170126,ACTIMED,B-3,4.556434
20170126,ACTIMED,D,4.541555
20170126,ACTIMED,E,4.79303
