BP_Único_y/o_Repetido,CLAVE_CLIENTE,CATEGORIA_PRODUCTO,DETALLE_PRODUCTO,POSICION_CUENTA_FECHA_TRANS
Repetido,92018019,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 42,292 "
Repetido,92018019,FONDOS DE DEUDA,"ACTIRENT, S.A. DE C.V. SOC INV DE INSTR DE DEUDA"," 22,263 "
Repetido,92018076,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 317,189 "
Repetido,92018126,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 97,495 "
Repetido,92018142,FONDOS DE DEUDA,"ALTERNA, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 200,304 "
Repetido,92018225,FONDOS DE DEUDA,"ALTERNA, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 104,844 "
Repetido,92018373,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 8,868 "
Repetido,92018373,RENTA VARIABLE,"FONDO MAYA,S.A DE C.V.,SOC. DE INV. DE RENTA VARIABLE"," 9,532 "
Repetido,92018423,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 246,565 "
Único,92018597,FONDOS DE COBERTURA,"ACTICOBER, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 78,671 "
Repetido,92018795,FONDOS DE DEUDA,"ACTIGOBER, S.A. DE C.V. SOC INV INSTRUM DE DEUDA"," 32,030 "
Repetido,92018829,FONDOS DE DEUDA,"ACTIRENT, S.A. DE C.V. SOC INV DE INSTR DE DEUDA"," 13,586 "
Único,92018845,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 24,884 "
Repetido,92019066,RENTA VARIABLE,"FONDO MAYA,S.A DE C.V.,SOC. DE INV. DE RENTA VARIABLE"," 7,501 "
Repetido,92019207,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 24,889 "
Repetido,92019249,FONDOS DE DEUDA,"ACTIRENT, S.A. DE C.V. SOC INV DE INSTR DE DEUDA", 374 
Repetido,92019421,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 17,193 "
Repetido,92019587,FONDOS DE DEUDA,"ALTERNA, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 20,786 "
Repetido,92019587,FONDOS DE COBERTURA,"ACTICOBER, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 6,814 "
Repetido,92019587,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 29,080 "
Repetido,92019710,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 19,022 "
Repetido,92019785,FONDOS DE COBERTURA,"ACTICOBER, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 166,314 "
Repetido,92020023,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 498,730 "
Repetido,92020114,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 256,271 "
Repetido,92020148,FONDOS DE DEUDA,"ACTIRENT, S.A. DE C.V. SOC INV DE INSTR DE DEUDA"," 2,861 "
Repetido,92020411,FONDOS DE DEUDA,ACTIREN B," 42,351 "
Repetido,92020536,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 71,559 "
Repetido,92020759,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 281,523 "
Repetido,92020791,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 158,674 "
Repetido,92021047,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 12,821 "
Repetido,92021096,FONDOS DE DEUDA,"ACTIRENT, S.A. DE C.V. SOC INV DE INSTR DE DEUDA"," 4,517 "
Repetido,92021781,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 100,508 "
Repetido,92021906,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 66,643 "
Repetido,92022110,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 109,014 "
Repetido,92022177,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 135,268 "
Repetido,92022318,FONDOS DE DEUDA,"ALTERNA, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 103,989 "
Repetido,92022367,FONDOS DE DEUDA,"ALTERNA, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA", 131 
Repetido,92022425,FONDOS DE COBERTURA,"ACTICOBER, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 231,695 "
Repetido,92022425,FONDOS DE DEUDA,"ALTERNA, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 57,038 "
Repetido,92022649,FONDOS DE DEUDA,"ALTERNA, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA", 77 
Repetido,92022938,FONDOS DE DEUDA,"ALTERNA, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 187,899 "
Repetido,92022938,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 97,042 "
Repetido,92022961,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 102,960 "
Repetido,92023316,FONDOS DE COBERTURA,"ACTICOBER, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 24,160 "
Repetido,92023316,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 190,851 "
Único,92023357,FONDOS DE COBERTURA,"ACTICOBER, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 17,581 "
Repetido,92023365,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 196,950 "
Repetido,92023555,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 66,762 "
Repetido,92023639,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 167,536 "
Repetido,92023639,FONDOS DE DEUDA,"ACTIRENT, S.A. DE C.V. SOC INV DE INSTR DE DEUDA"," 3,948 "
Único,92023795,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 105,713 "
Repetido,92023811,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 8,194 "
Repetido,92024157,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 149,607 "
Repetido,92024157,FONDOS DE COBERTURA,"ACTICOBER, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 157,289 "
Repetido,92024280,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 14,854 "
Repetido,92024421,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 174,462 "
Repetido,92024538,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 68,331 "
Único,92024694,FONDOS DE COBERTURA,"ACTICOBER, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 16,280 "
Repetido,92024892,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 174,406 "
Repetido,92025006,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA", 159 
Repetido,92025253,FONDOS DE COBERTURA,"ACTICOBER, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 109,827 "
Repetido,92025444,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 344,394 "
Repetido,92025592,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 453,607 "
Repetido,92025626,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 125,709 "
Repetido,92025840,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 56,948 "
Repetido,92025949,FONDOS DE DEUDA,"ACTIRENT, S.A. DE C.V. SOC INV DE INSTR DE DEUDA"," 1,868 "
