,CLAVE_CLIENTE,ACTICOB,ACTIMED,ACTIGOB,ACTIREN,ALTERNA,IMPULSA,ACTI500,MAYA,ACTVIDA
44,90015165,,-3.9051067083505817,2.078691599515521,,,,,,
45,90015736,,-1.5843335694068807,,,,,,,
46,90016122,,-1.5843335694068807,,,,,,,
47,90016171,,-1.5843335694068807,,,,,,,
48,90016759,,0.5943549089407556,0.1778323653584195,,,,,,
49,90017021,,-1.5843335694068807,,,,,,,
50,90017104,,,,,-21.602852282775395,,,,
51,90017146,,,,,-21.602852282775395,,,,
52,90017260,,-1.5843335694068807,,,,,,,
53,90017682,,-1.5843335694068807,,,,,,,
54,90017849,,,,,-21.602852282775395,,,,
55,90018136,,,0.7799622625516011,,,,,,
56,90018243,,-4.415633261844857,,,28.88159067781503,,,0.05620593757229787,
57,90018789,,-1.5843335694068807,,,,,,,
58,90018854,0.021267017862921442,,6.6672034111273035,-6.565613392615744,0.5029626686577827,,,,
59,90020124,,,,,-21.602852282775395,,,,
60,90020132,,,,,,,,0.30522249986585875,
61,90020439,,-1.5843335694068807,,,,,,,
62,90020454,,-1.5843335694068807,,,,,,,
63,90020470,,-0.11681791236863326,,-1.7157714823828742,,,,,
64,90020553,,0.17683358744628228,,,,0.5633265824316249,,,
65,90020850,,,,0.5615457990263049,,,,0.24530940951436128,
66,90020926,,0.7053453857388498,,,0.12927689501696216,,,0.16392423087209648,
67,90021122,,39.76554697278871,,,,,,0.21034146618933897,
68,90021619,,-1.5843335694068807,,,,,,,
69,90021692,,-1.5843335694068807,,,,,,,
70,90021817,,,,,,,,0.30522249986585875,
71,90021940,0.0011796856276511374,0.5603735180028444,0.021829432363599383,0.016299760041000755,0.39886411559281365,,,,
72,90022575,,-1.5843335694068807,,,,,,,
73,90022765,,-1.5843335694068807,,,,,,,
74,90022971,,-1.5843335694068807,,,,,,,
75,90023235,,-1.5843335694068807,,,,,,,
76,90023250,,-1.5843335694068807,,,,,,,
77,90023342,,-1.5843335694068807,,,,,,,
78,90023425,,,0.7799622625516011,,,,,,
79,90023516,,-1.5843335694068807,,,,,,,
80,90023524,,-1.5843335694068807,,,,,,,
81,90024860,,-1.5843335694068807,,,,,,,
82,90024910,,-1.5843335694068807,,,,,,,
83,90025404,,-1.5843335694068807,,,,,,,
84,90025735,,-1.5843335694068807,,,,,,,
85,90026295,,-1.5843335694068807,,,,,,,
86,90027228,,-1.5843335694068807,,,,,,,
87,90027459,,,,,-21.602852282775395,,,,
88,90027905,,-1.5843335694068807,,,,,,,
89,90028598,,-0.032036953433860926,,,-1.4298684603571976,,,,
90,90028655,,-1.5843335694068807,,,,,,,
91,90028671,,-1.5843335694068807,,,,,,,
92,90028697,,-5.420081631184675,,,1.8718890272779145,,,,
93,90028804,,-1.5843335694068807,,,,,,,
94,90029042,-0.18979786998612402,,,,-30.955100378491828,,,,
95,90029083,,6.577357019445175,,,-8.180827311294697,,,,
96,90029166,,-1.5843335694068807,,,,,,,
97,90029299,,-1.5843335694068807,,,,,,,
98,90029372,,-1.5843335694068807,,,,,,,
99,90029489,,,0.7799622625516011,,,,,,
100,90029521,,-1.5843335694068807,,,,,,,
101,90029596,,-1.5843335694068807,,,,,,,
102,90029687,,-1.5843335694068807,,,,,,,
103,90029729,,,,,-21.602852282775395,,,,
104,90030115,,-1.5843335694068807,,,,,,,
105,90030974,,-1.5843335694068807,,,,,,,
106,90031519,,,,,-21.602852282775395,,,,
107,90031980,,,,,-21.602852282775395,,,,
108,90032632,,-1.5843335694068807,,,,,,,
109,90032723,,-1.5843335694068807,,,,,,,
110,90032921,,-1.5843335694068807,,,,,,,
111,90033333,,,,,-21.602852282775395,,,,
112,90034190,0.08073641771133289,0.735501947375854,,,,,,0.11163113840339405,
113,90034232,,-1.5843335694068807,,,,,,,
