id,ID_CLIENTE,NIVEL,MEJOR_RENDIMIENTO
331,90017849,NIVEL 2,Yes
332,90017849,NIVEL 3,Yes
333,90017922,NIVEL 1,No
334,90017922,NIVEL 2,No
335,90017922,NIVEL 3,No
336,90018136,NIVEL 1,Yes
337,90018136,NIVEL 2,Yes
338,90018136,NIVEL 3,Yes
339,90018243,NIVEL 1,Yes
340,90018243,NIVEL 2,Yes
341,90018243,NIVEL 3,Yes
342,90018318,NIVEL 1,No
343,90018318,NIVEL 2,Yes
344,90018318,NIVEL 3,Yes
345,90018342,NIVEL 1,No
346,90018342,NIVEL 2,No
347,90018342,NIVEL 3,No
348,90018607,NIVEL 1,No
349,90018607,NIVEL 2,No
350,90018607,NIVEL 3,No
351,90018789,NIVEL 1,Yes
352,90018789,NIVEL 2,Yes
353,90018789,NIVEL 3,Yes
354,90018813,NIVEL 1,No
355,90018813,NIVEL 2,No
356,90018813,NIVEL 3,No
357,90018854,NIVEL 1,Yes
358,90018854,NIVEL 2,Yes
359,90018854,NIVEL 3,Yes
360,90018961,NIVEL 1,No
361,90018961,NIVEL 2,No
362,90018961,NIVEL 3,No
363,90018979,NIVEL 1,No
364,90018979,NIVEL 2,No
365,90018979,NIVEL 3,No
366,90019100,NIVEL 1,No
367,90019100,NIVEL 2,No
368,90019100,NIVEL 3,Yes
369,90019175,NIVEL 1,No
370,90019175,NIVEL 2,No
371,90019175,NIVEL 3,No
372,90020124,NIVEL 1,Yes
373,90020124,NIVEL 2,Yes
374,90020124,NIVEL 3,Yes
375,90020132,NIVEL 1,Yes
376,90020132,NIVEL 2,Yes
377,90020132,NIVEL 3,Yes
378,90020363,NIVEL 1,No
379,90020363,NIVEL 2,No
380,90020363,NIVEL 3,No
381,90020405,NIVEL 1,No
382,90020405,NIVEL 2,No
383,90020405,NIVEL 3,No
384,90020439,NIVEL 1,Yes
385,90020439,NIVEL 2,Yes
386,90020439,NIVEL 3,Yes
387,90020454,NIVEL 1,Yes
388,90020454,NIVEL 2,Yes
389,90020454,NIVEL 3,Yes
390,90020470,NIVEL 1,Yes
391,90020470,NIVEL 2,Yes
392,90020470,NIVEL 3,Yes
393,90020553,NIVEL 1,Yes
394,90020553,NIVEL 2,Yes
395,90020553,NIVEL 3,Yes
396,90020652,NIVEL 1,No
397,90020652,NIVEL 2,No
398,90020652,NIVEL 3,No
399,90020728,NIVEL 1,No
400,90020728,NIVEL 2,No
401,90020728,NIVEL 3,No
402,90020850,NIVEL 1,Yes
403,90020850,NIVEL 2,Yes
404,90020850,NIVEL 3,Yes
405,90020926,NIVEL 1,Yes
406,90020926,NIVEL 2,Yes
407,90020926,NIVEL 3,Yes
408,90021122,NIVEL 1,Yes
409,90021122,NIVEL 2,Yes
410,90021122,NIVEL 3,Yes
411,90021148,NIVEL 1,No
412,90021148,NIVEL 2,No
413,90021148,NIVEL 3,No
414,90021528,NIVEL 1,No
415,90021528,NIVEL 2,No
416,90021528,NIVEL 3,No
417,90021585,NIVEL 1,No
418,90021585,NIVEL 2,No
419,90021585,NIVEL 3,No
420,90021619,NIVEL 1,Yes
421,90021619,NIVEL 2,Yes
422,90021619,NIVEL 3,Yes
423,90021692,NIVEL 1,Yes
424,90021692,NIVEL 2,Yes
425,90021692,NIVEL 3,Yes
426,90021817,NIVEL 1,Yes
427,90021817,NIVEL 2,Yes
428,90021817,NIVEL 3,Yes
429,90021882,NIVEL 1,No
430,90021882,NIVEL 2,No
431,90021882,NIVEL 3,No
432,90021940,NIVEL 1,Yes
433,90021940,NIVEL 2,Yes
434,90021940,NIVEL 3,Yes
435,90022575,NIVEL 1,Yes
436,90022575,NIVEL 2,Yes
437,90022575,NIVEL 3,Yes
438,90022757,NIVEL 1,No
439,90022757,NIVEL 2,Yes
440,90022757,NIVEL 3,Yes
441,90022765,NIVEL 1,Yes
442,90022765,NIVEL 2,Yes
443,90022765,NIVEL 3,Yes
444,90022906,NIVEL 1,No
445,90022906,NIVEL 2,Yes
446,90022906,NIVEL 3,Yes
447,90022971,NIVEL 1,Yes
448,90022971,NIVEL 2,Yes
449,90022971,NIVEL 3,Yes
450,90023235,NIVEL 1,Yes
451,90023235,NIVEL 2,Yes
452,90023235,NIVEL 3,Yes
453,90023250,NIVEL 1,Yes
454,90023250,NIVEL 2,Yes
455,90023250,NIVEL 3,Yes
456,90023342,NIVEL 1,Yes
457,90023342,NIVEL 2,Yes
458,90023342,NIVEL 3,Yes
459,90023359,NIVEL 1,No
460,90023359,NIVEL 2,No
461,90023359,NIVEL 3,No
462,90023425,NIVEL 1,Yes
463,90023425,NIVEL 2,Yes
464,90023425,NIVEL 3,Yes
465,90023516,NIVEL 1,Yes
466,90023516,NIVEL 2,Yes
467,90023516,NIVEL 3,Yes
468,90023524,NIVEL 1,Yes
469,90023524,NIVEL 2,Yes
470,90023524,NIVEL 3,Yes
471,90024175,NIVEL 1,No
472,90024175,NIVEL 2,No
473,90024175,NIVEL 3,No
474,90024555,NIVEL 1,No
475,90024555,NIVEL 2,No
476,90024555,NIVEL 3,No
477,90024803,NIVEL 1,No
478,90024803,NIVEL 2,No
479,90024803,NIVEL 3,No
480,90024860,NIVEL 1,Yes
481,90024860,NIVEL 2,Yes
482,90024860,NIVEL 3,Yes
483,90024910,NIVEL 1,Yes
484,90024910,NIVEL 2,Yes
485,90024910,NIVEL 3,Yes
486,90025149,NIVEL 1,No
487,90025149,NIVEL 2,No
488,90025149,NIVEL 3,No
489,90025404,NIVEL 1,Yes
490,90025404,NIVEL 2,Yes
491,90025404,NIVEL 3,Yes
492,90025735,NIVEL 1,Yes
493,90025735,NIVEL 2,Yes
494,90025735,NIVEL 3,Yes
495,90025891,NIVEL 1,No
496,90025891,NIVEL 2,No
497,90025891,NIVEL 3,No
498,90025958,NIVEL 1,No
499,90025958,NIVEL 2,No
500,90025958,NIVEL 3,No
501,90025990,NIVEL 1,No
502,90025990,NIVEL 2,No
503,90025990,NIVEL 3,No
504,90026295,NIVEL 1,Yes
505,90026295,NIVEL 2,Yes
506,90026295,NIVEL 3,Yes
507,90026535,NIVEL 1,No
